Type;x;y;Best Fitness;Time
Sequential;3.14;3.14;-1.00;3303.23
Sequential;3.14;3.14;-1.00;12185.65
Sequential;3.14;3.14;-1.00;23558.20
Sequential;3.14;3.14;-1.00;36477.47
Sequential;3.14;3.14;-1.00;63297.33
Sequential;3.14;3.14;-1.00;79257.27
Sequential;3.14;3.14;-1.00;123832.09
Sequential;3.14;3.14;-1.00;161503.61
Sequential;3.14;3.14;-1.00;203627.42
Sequential;3.14;3.14;-1.00;237775.42
OpenMP;3.14;3.14;-1.00;1106.89
OpenMP;3.14;3.14;-1.00;679.47
OpenMP;3.14;3.14;-1.00;1457.18
OpenMP;3.14;3.14;-1.00;2325.67
OpenMP;3.14;3.14;-1.00;3723.69
OpenMP;3.14;3.14;-1.00;5818.63
OpenMP;3.14;3.14;-1.00;7017.15
OpenMP;3.14;3.14;-1.00;9669.86
OpenMP;3.14;3.14;-1.00;12028.05
OpenMP;3.14;3.14;-1.00;14452.52
MPI;3.14;3.14;-1.00;140.20
MPI;3.14;3.14;-1.00;363.09
MPI;3.14;3.14;-1.00;675.31
MPI;3.14;3.14;-1.00;941.05
MPI;3.14;3.14;-1.00;984.39
MPI;3.14;3.14;-1.00;1102.94
MPI;3.14;3.14;-1.00;1170.96
MPI;3.14;3.14;-1.00;1443.07
MPI;3.14;3.14;-1.00;1572.62
MPI;3.14;3.14;-1.00;1605.62
CUDA;3.14;3.14;-1.00;26.33
CUDA;3.14;3.14;-1.00;52.87
CUDA;3.14;3.14;-1.00;78.81
CUDA;3.14;3.14;-1.00;105.86
CUDA;3.14;3.14;-1.00;137.06
CUDA;3.14;3.14;-1.00;161.39
CUDA;3.14;3.14;-1.00;221.38
CUDA;3.14;3.14;-1.00;303.32
CUDA;3.14;3.14;-1.00;390.43
CUDA;3.14;3.14;-1.00;455.46
